[17:09:05-06:11:2011][CMD] LukeS - say LukeS
[19:34:19-06:11:2011][CMD] LukeS - teleto 0
[20:59:37-12:11:2011][CMD] LukeS - teleto 1
[20:59:47-12:11:2011][CMD] LukeS - teleto 0
[21:28:57-12:11:2011][CMD] LukeS - teleto 2
[21:29:11-12:11:2011][CMD] LukeS - teleto 2
[21:31:34-12:11:2011][CMD] LukeS - teleto 2
[21:36:55-12:11:2011][CMD] LukeS - teleto 2
[21:36:59-12:11:2011][CMD] LukeS - teleto 1
[21:37:03-12:11:2011][CMD] LukeS - teleto 3
[21:56:57-12:11:2011][CMD] LukeS - teleto 2
[21:57:03-12:11:2011][CMD] LukeS - teleto 1
[22:08:58-12:11:2011][CMD] LukeS - teleto 2
[22:09:08-12:11:2011][CMD] LukeS - teleto 1
[22:09:58-12:11:2011][CMD] LukeS - telehere 1
[22:10:36-12:11:2011][CMD] LukeS - kick 1
[22:14:19-12:11:2011][CMD] LukeS - teleto 1
[22:14:23-12:11:2011][CMD] LukeS - teleto 0
[22:14:28-12:11:2011][CMD] LukeS - teleto 2
[22:18:40-12:11:2011][CMD] LukeS - teleto 2
[22:18:56-12:11:2011][CMD] LukeS - teleto 2
[22:18:58-12:11:2011][CMD] LukeS - teleto 2
[22:19:01-12:11:2011][CMD] LukeS - teleto 20
[22:19:03-12:11:2011][CMD] LukeS - teleto 20
[22:19:05-12:11:2011][CMD] LukeS - teleto 2
[22:19:10-12:11:2011][CMD] LukeS - teleto 2
[22:19:12-12:11:2011][CMD] LukeS - teleto 2
[22:19:15-12:11:2011][CMD] LukeS - teleto 2
[22:19:30-12:11:2011][CMD] LukeS - teleto 2
[22:22:34-12:11:2011][CMD] LukeS - teleto 2
[22:22:45-12:11:2011][CMD] LukeS - teleto 1
[22:22:48-12:11:2011][CMD] LukeS - teleto 0
[22:24:18-12:11:2011][CMD] LukeS - teleto 2
[22:24:43-12:11:2011][CMD] LukeS - teleto 1
[22:24:47-12:11:2011][CMD] LukeS - teleto 0
[21:24:42-02:01:2012][CMD] LukeS - teleto 3
[21:38:33-02:01:2012][CMD] LukeS - teleto 3
[21:39:06-02:01:2012][CMD] LukeS - teleto 3
[21:43:33-02:01:2012][CMD] LukeS - cmdlist LukeS
[21:43:45-02:01:2012][CMD] LukeS - givemoney 3 500000
[21:44:05-02:01:2012][CMD] LukeS - telehere 4
[21:44:19-02:01:2012][CMD] LukeS - telehere 4
[21:44:24-02:01:2012][CMD] LukeS - givemoney 4 500000
[21:48:42-02:01:2012][CMD] LukeS - telehere 4
[21:49:18-02:01:2012][CMD] LukeS - teleto 4
[21:50:13-02:01:2012][CMD] LukeS - teleto 4
[21:51:33-02:01:2012][CMD] LukeS - teleto 4
[21:51:58-02:01:2012][CMD] LukeS - teleto 4
[21:47:21-14:01:2012][CMD] LukeS - teleto 1
[21:47:25-14:01:2012][CMD] LukeS - teleto 4
[21:47:28-14:01:2012][CMD] LukeS - teleto 3
[21:47:30-14:01:2012][CMD] LukeS - teleto 2
[14:22:52-15:01:2012][CMD] LukeS - jail 3 ëîõ
[14:31:21-15:01:2012][CMD] LukeS - mute 3 1
[14:31:30-15:01:2012][CMD] LukeS - unmute 3 
[14:31:39-15:01:2012][CMD] LukeS - jail 3 1
[14:31:47-15:01:2012][CMD] LukeS - unjail 3 1
[14:36:11-15:01:2012][CMD] LukeS - unjail 3 
[14:36:51-15:01:2012][CMD] LukeS - mute 3 ëîøîê
[14:36:59-15:01:2012][CMD] LukeS - unmute 3 
[14:38:11-15:01:2012][CMD] LukeS - unmute 3 
[14:47:42-15:01:2012][CMD] LukeS - telehere 3 
[14:47:47-15:01:2012][CMD] LukeS - teleto 3 
[14:47:52-15:01:2012][CMD] LukeS - telehere 3 
[14:47:59-15:01:2012][CMD] LukeS - telehere 3 
[14:48:15-15:01:2012][CMD] LukeS - teleto 3 
[16:51:17-24:03:2012][CMD] LukeS - teleto 4 
[17:04:19-24:03:2012][CMD] LukeS - teleto 0 
[17:09:11-24:03:2012][CMD] LukeS - teleto 0 
[11:16:04-25:03:2012][CMD] LukeS - teleto 4 
[11:18:43-25:03:2012][CMD] LukeS - teleto 3 
[11:19:55-25:03:2012][CMD] LukeS - cmdlist LukeS
[11:20:09-25:03:2012][CMD] LukeS - setlvl 3 500
[11:20:16-25:03:2012][CMD] LukeS - teleto 3 
[11:20:56-25:03:2012][CMD] LukeS - setlvl 4 400
[11:21:04-25:03:2012][CMD] LukeS - teleto 3 
[16:51:51-25:03:2012][CMD] LukeS - setlvl 3 0
[22:05:59-02:05:2012][CMD] LukeS - cmdlist LukeS
[22:06:24-02:05:2012][CMD] LukeS - givemoney 3 12341000
[19:25:43-07:05:2012][CMD] LukeS - teleto 0
[19:25:51-07:05:2012][CMD] LukeS - teleto 0
[19:25:54-07:05:2012][CMD] LukeS - teleto 1
[19:25:58-07:05:2012][CMD] LukeS - teleto 2
[19:26:26-07:05:2012][CMD] LukeS - teleto 1
[19:27:11-07:05:2012][CMD] LukeS - teleto 1
[19:27:13-07:05:2012][CMD] LukeS - teleto 3
[19:27:15-07:05:2012][CMD] LukeS - teleto 2
[19:28:40-07:05:2012][CMD] LukeS - teleto 2
[19:31:00-07:05:2012][CMD] LukeS - teleto 2
[21:05:29-07:05:2012][CMD] LukeS - setstatus 3 1
[21:05:31-07:05:2012][CMD] LukeS - setstatus 3 2
[18:20:56-18:05:2012][CMD] LukeS - telehere 4 
[18:21:19-18:05:2012][CMD] LukeS - telehere 4 
[18:27:13-18:05:2012][CMD] LukeS - telehere 4 
[18:29:39-18:05:2012][CMD] LukeS - telehere 3 
[18:31:11-18:05:2012][CMD] LukeS - telehere 3 
[18:32:07-18:05:2012][CMD] LukeS - telehere 3 
[18:34:52-18:05:2012][CMD] LukeS - telehere 4 
[18:35:26-18:05:2012][CMD] LukeS - telehere 4 
[18:36:39-18:05:2012][CMD] LukeS - boom 4
[18:37:16-18:05:2012][CMD] LukeS - boom 4
[18:44:56-18:05:2012][CMD] LukeS - telehere 4 
[18:50:51-18:05:2012][CMD] LukeS - telehere 4 
[18:54:44-18:05:2012][CMD] LukeS - telehere 4 
[19:01:32-18:05:2012][CMD] LukeS - telehere 3 
[19:02:15-18:05:2012][CMD] LukeS - telehere 3 
[19:02:51-18:05:2012][CMD] LukeS - telehere 3 
[19:05:30-18:05:2012][CMD] LukeS - telehere 3 
[19:09:47-18:05:2012][CMD] LukeS - telehere 4 
[19:13:06-18:05:2012][CMD] LukeS - telehere 4 
[19:13:31-18:05:2012][CMD] LukeS - telehere 4 
[20:08:19-18:05:2012][CMD] LukeS - boom 4
[21:04:03-18:05:2012][CMD] LukeS - teleto 1
[21:04:06-18:05:2012][CMD] LukeS - teleto 2
[21:04:09-18:05:2012][CMD] LukeS - teleto 0
[21:04:12-18:05:2012][CMD] LukeS - teleto 0
[21:04:22-18:05:2012][CMD] LukeS - teleto 0
[21:04:24-18:05:2012][CMD] LukeS - teleto 0
[21:04:26-18:05:2012][CMD] LukeS - teleto 0
[21:04:59-18:05:2012][CMD] LukeS - teleto 0
[11:24:23-19:05:2012][CMD] LukeS - telehere 4 
[11:25:19-19:05:2012][CMD] LukeS - teleto 4 
[11:27:43-19:05:2012][CMD] LukeS - telehere 4 
[11:43:29-19:05:2012][CMD] LukeS - telehere 4 
[12:03:47-19:05:2012][CMD] LukeS - telehere 4 
[12:07:23-19:05:2012][CMD] LukeS - telehere 4 
[12:10:51-19:05:2012][CMD] LukeS - telehere 4 
[12:15:04-19:05:2012][CMD] LukeS - telehere 4 
[11:12:48-20:05:2012][CMD] LukeS - telehere 4 
[11:13:29-20:05:2012][CMD] LukeS - telehere 4 
[11:14:42-20:05:2012][CMD] LukeS - telehere 4 
[11:31:06-20:05:2012][CMD] LukeS - telehere 4 
[11:35:24-20:05:2012][CMD] LukeS - telehere 4 
[11:45:07-20:05:2012][CMD] LukeS - telehere 4 
[12:06:30-20:05:2012][CMD] LukeS - telehere 4 
[12:15:33-20:05:2012][CMD] LukeS - telehere 4 
[20:03:01-09:06:2012][CMD] Noobie - teleto 0
[20:03:03-09:06:2012][CMD] Noobie - teleto 1
[20:03:05-09:06:2012][CMD] Noobie - teleto 2
[20:03:09-09:06:2012][CMD] Noobie - teleto 4
[20:03:11-09:06:2012][CMD] Noobie - teleto 3
[20:03:16-09:06:2012][CMD] Noobie - teleto 0
[13:11:00-10:06:2012][CMD] Noobie - teleto 0
[13:11:03-10:06:2012][CMD] Noobie - teleto 1
[13:11:05-10:06:2012][CMD] Noobie - teleto 2
[13:11:15-10:06:2012][CMD] Noobie - teleto 2
[13:11:22-10:06:2012][CMD] Noobie - teleto 3
[13:11:38-10:06:2012][CMD] Noobie - teleto 3
[13:18:16-10:06:2012][CMD] Noobie - teleto 3
[13:18:21-10:06:2012][CMD] Noobie - teleto 4
[13:18:30-10:06:2012][CMD] Noobie - teleto 2
[13:18:52-10:06:2012][CMD] Noobie - teleto 0
[13:19:05-10:06:2012][CMD] Noobie - teleto 3
[13:19:07-10:06:2012][CMD] Noobie - teleto 2
[13:22:41-10:06:2012][CMD] Noobie - teleto 2
[21:39:18-11:06:2012][CMD] Noobie - setstatus 1
[21:39:26-11:06:2012][CMD] Noobie - setstatus 5 1
[21:39:30-11:06:2012][CMD] Noobie - setstatus 5 2
[11:14:22-12:06:2012][CMD] Noobie - givemoney 5 10000000
[22:31:38-12:06:2012][CMD] LukeS - teleto 3
[22:31:40-12:06:2012][CMD] LukeS - teleto 2
[22:32:54-12:06:2012][CMD] LukeS - teleto 3
[13:04:31-25:06:2012][CMD] LukeS - cmdlist LukeS
[13:13:22-25:06:2012][CMD] LukeS5310 - teleto 5
[16:58:27-25:06:2012][CMD] LukeS - teleto 2
[16:58:35-25:06:2012][CMD] LukeS - teleto 3
[16:58:41-25:06:2012][CMD] LukeS - teleto 1
[16:58:57-25:06:2012][CMD] LukeS - teleto 1
[16:59:07-25:06:2012][CMD] LukeS - teleto 0
[03:21:14-07:07:2012][CMD] LukeS5310 - cmdlist LukeS5310
[03:21:28-07:07:2012][CMD] LukeS5310 - givemoney 5 464864684
[03:23:08-07:07:2012][CMD] LukeS5310 - remmoney 5 464864684
[03:23:56-07:07:2012][CMD] LukeS5310 - givemoney 5 500000
[01:12:10-13:08:2012][CMD] LukeS - givemoney 5 258908259
[14:13:51-16:08:2012][CMD] LukeS - givemoney 5 1000
